setting,horizon_weeks,model_family,model_standard,mae,rmse,mase
Brazil,1,baseline,persistence,8840.450980392157,12497.107349224429,1.095580484887393
Brazil,1,baseline,seasonal_naive,15668.098039215687,23376.325047481056,1.941717960445687
Brazil,1,baseline,moving_average_4,17219.16176470588,23645.226755051302,2.1339383745662808
Brazil,2,baseline,persistence,14112.3,20650.897749492637,1.7489108317176036
Brazil,2,baseline,seasonal_naive,15855.68,23592.172298455265,1.964964640508505
Brazil,2,baseline,moving_average_4,23410.925,31976.7358688899,2.901271962261888
Brazil,4,baseline,persistence,26478.625,37116.035419905325,3.2814462611685222
Brazil,4,baseline,seasonal_naive,15905.458333333334,23882.935709065023,1.9711335758593351
Brazil,4,baseline,moving_average_4,35016.25,47942.03043941345,4.339498091107158
Colombia,1,baseline,persistence,276.19607843137254,375.24820544044513,2.0354362659685825
Colombia,1,baseline,seasonal_naive,1213.549019607843,1345.537934557526,8.943290212768817
Colombia,1,baseline,moving_average_4,321.69117647058823,392.6075427166921,2.3707139172616114
Colombia,2,baseline,persistence,360.74,444.67491496597825,2.6584855322916963
Colombia,2,baseline,seasonal_naive,1216.8,1350.7737634407918,8.967248421834384
Colombia,2,baseline,moving_average_4,344.125,434.62066362518937,2.536040732383101
Colombia,4,baseline,persistence,400.6041666666667,523.1711200298936,2.9522658459253335
Colombia,4,baseline,seasonal_naive,1224.6666666666667,1362.5582556353324,9.02522208574938
Colombia,4,baseline,moving_average_4,407.2447916666667,523.6170761614986,3.001204154645948
Peru,1,baseline,persistence,779.8039215686274,1324.5988367922466,3.789847547836116
Peru,1,baseline,seasonal_naive,3938.235294117647,6133.353319447403,19.139825999066733
Peru,1,baseline,moving_average_4,1661.3774509803925,2596.56441637452,8.074295453609281
Peru,2,baseline,persistence,1437.12,2322.0373037485856,6.984404101213432
Peru,2,baseline,seasonal_naive,4007.36,6194.00814658812,19.475772113002854
Peru,2,baseline,moving_average_4,2284.61,3478.379801358673,11.103206032671748
Peru,4,baseline,persistence,2745.7083333333335,4133.476306331028,13.34414422182506
Peru,4,baseline,seasonal_naive,4139.333333333333,6319.3950857657255,20.117162595762917
Peru,4,baseline,moving_average_4,3461.71875,4991.061178497014,16.823955295832942
Singapore,1,baseline,persistence,13.07843137254902,18.27727615180697,0.361269812550597
Singapore,1,baseline,seasonal_naive,185.19607843137257,208.70078966751217,5.115732203208978
Singapore,1,baseline,moving_average_4,12.57843137254902,15.80619449183533,0.3474581480527856
Singapore,2,baseline,persistence,13.88,18.540765895722863,0.3834118064592453
Singapore,2,baseline,seasonal_naive,183.38,207.13189035008588,5.06556607121732
Singapore,2,baseline,moving_average_4,13.34,16.433274171631165,0.3684952088016089
Singapore,4,baseline,persistence,17.020833333333332,21.188145270410057,0.4701720789463307
Singapore,4,baseline,seasonal_naive,178.0625,201.646193864402,4.918679019283095
Singapore,4,baseline,moving_average_4,16.921875,21.344794691368353,0.4674385203478055
Sri Lanka,1,baseline,persistence,110.58823529411764,175.15113921589963,0.5286415422922742
Sri Lanka,1,baseline,seasonal_naive,721.18,958.1244699933302,3.4474345888275635
Sri Lanka,1,baseline,moving_average_4,174.42708333333334,270.6984263360859,0.8338084255132439
Sri Lanka,2,baseline,persistence,153.66,227.10935691864393,0.7345361753227259
Sri Lanka,2,baseline,seasonal_naive,715.9183673469388,957.693700767524,3.422282567970264
Sri Lanka,2,baseline,moving_average_4,240.40425531914897,364.6646995324697,1.149197072975633
Sri Lanka,4,baseline,persistence,271.5833333333333,419.4048362461581,1.2982414613306237
Sri Lanka,4,baseline,seasonal_naive,688.3404255319149,936.3416815889652,3.290452580308671
Sri Lanka,4,baseline,moving_average_4,348.43333333333334,531.0540985206268,1.6656051543772947
Taiwan,1,baseline,persistence,3.2549019607843137,6.615489844475082,0.1826371435540143
Taiwan,1,baseline,seasonal_naive,517.0392156862745,908.691118598398,29.011800231179546
Taiwan,1,baseline,moving_average_4,10.323529411764708,29.019516759263524,0.5792678077180035
Taiwan,2,baseline,persistence,5.1,10.08265837961398,0.2861681990265008
Taiwan,2,baseline,seasonal_naive,526.58,917.7156095436102,29.54714710654408
Taiwan,2,baseline,moving_average_4,11.42,32.27111711732335,0.6407923201730665
Brazil,1,negative_binomial,negative_binomial_epidemiology_only,8164.26184388032,13861.6397124866,1.01178163529269
Brazil,1,negative_binomial,negative_binomial_climate_informed,8124.30652023931,13363.4129307741,1.00683004708237
Brazil,2,negative_binomial,negative_binomial_epidemiology_only,10824.6870552867,17852.9036804746,1.34148313463746
Brazil,2,negative_binomial,negative_binomial_climate_informed,10322.3923805636,15286.8905563493,1.27923469906443
Brazil,4,negative_binomial,negative_binomial_epidemiology_only,15904.0024555879,24718.9600970766,1.97095315166494
Brazil,4,negative_binomial,negative_binomial_climate_informed,17939.0858609725,25440.7096336875,2.22315721557557
Colombia,1,negative_binomial,negative_binomial_epidemiology_only,375.641156776506,473.986920798207,2.76830010706786
Colombia,1,negative_binomial,negative_binomial_climate_informed,356.547427895019,439.610675831634,2.62758823150947
Colombia,2,negative_binomial,negative_binomial_epidemiology_only,404.868395176667,507.138621335867,2.98369122098832
Colombia,2,negative_binomial,negative_binomial_climate_informed,336.17758505261,428.146830251157,2.47747199130433
Colombia,4,negative_binomial,negative_binomial_epidemiology_only,462.757955934362,628.188623341221,3.41031028110101
Colombia,4,negative_binomial,negative_binomial_climate_informed,346.053490704294,433.676657121251,2.5502528093264
Peru,1,negative_binomial,negative_binomial_epidemiology_only,2908.47371799073,4646.18469071139,14.1351840933297
Peru,1,negative_binomial,negative_binomial_climate_informed,2746.27561356297,4419.82665451327,13.3469012040968
Peru,2,negative_binomial,negative_binomial_epidemiology_only,2968.77123393717,4817.30892427385,14.4282300586418
Peru,2,negative_binomial,negative_binomial_climate_informed,2868.13661536797,4665.6908654936,13.9391457492878
Peru,4,negative_binomial,negative_binomial_epidemiology_only,3694.68465667908,5834.57898724769,17.9561697483854
Peru,4,negative_binomial,negative_binomial_climate_informed,3637.3348661932,5720.78580349128,17.6774497306602
Singapore,1,negative_binomial,negative_binomial_epidemiology_only,13.5305259459277,18.7441046902744,0.373758169688172
Singapore,1,negative_binomial,negative_binomial_climate_informed,13.7114471516053,18.7987988774313,0.37875581567489
Singapore,2,negative_binomial,negative_binomial_epidemiology_only,14.7449349814466,20.0865380059712,0.407304190011567
Singapore,2,negative_binomial,negative_binomial_climate_informed,14.584649359945,19.6680774415128,0.402876567555562
Singapore,4,negative_binomial,negative_binomial_epidemiology_only,20.8108305446422,27.0673600076357,0.574864418806808
Singapore,4,negative_binomial,negative_binomial_climate_informed,18.1622745861836,24.0979233354164,0.50170248620299
Sri Lanka,1,negative_binomial,negative_binomial_epidemiology_only,119.928815821173,160.482584228822,0.573292032306836
Sri Lanka,1,negative_binomial,negative_binomial_climate_informed,123.289872481465,173.898830997881,0.589358788159326
Sri Lanka,2,negative_binomial,negative_binomial_epidemiology_only,155.26489205467,198.639845299918,0.742207991485965
Sri Lanka,2,negative_binomial,negative_binomial_climate_informed,156.812111935959,228.593560211348,0.74960411913132
Sri Lanka,4,negative_binomial,negative_binomial_epidemiology_only,266.511296279554,348.924414344923,1.27399575848943
Sri Lanka,4,negative_binomial,negative_binomial_climate_informed,247.56317652981,321.081291509159,1.18341864401244
Taiwan,1,negative_binomial,negative_binomial_epidemiology_only,11.5133662133631,24.8176609286601,0.646031230198172
Taiwan,1,negative_binomial,negative_binomial_climate_informed,26.7978048799593,90.8441614460593,1.50366265889442
Taiwan,2,negative_binomial,negative_binomial_epidemiology_only,11.8621883061832,23.9890876996694,0.665604130214444
Brazil,1,xgboost,xgboost_epidemiology,8198.188246783087,11967.331475677922,1.0159860706801085
Brazil,1,xgboost,xgboost_climate,8332.472407322304,13552.009478738431,1.032627654468374
Brazil,2,xgboost,xgboost_epidemiology,16014.6901171875,23842.542221093863,1.9846704656611664
Brazil,2,xgboost,xgboost_climate,12224.37486328125,17396.640096432475,1.514943815633807
Brazil,4,xgboost,xgboost_epidemiology,16250.726338704428,23023.079724525214,2.0139219912444273
Brazil,4,xgboost,xgboost_climate,17228.640686035156,24459.510963187113,2.13511307948226
Colombia,1,xgboost,xgboost_epidemiology,1215.5376957912072,1411.9379156973243,8.957945828619252
Colombia,1,xgboost,xgboost_climate,1293.9519784964766,1491.0638952044503,9.53582251569856
Colombia,2,xgboost,xgboost_epidemiology,1337.9357153320314,1523.0925387510338,9.859962139897284
Colombia,2,xgboost,xgboost_climate,1326.392822265625,1523.3293549871314,9.77489640219747
Colombia,4,xgboost,xgboost_epidemiology,1125.2466735839844,1342.768456809549,8.292543111333313
Colombia,4,xgboost,xgboost_climate,1434.7882970174153,1686.0176565155173,10.573720489888116
Peru,1,xgboost,xgboost_epidemiology,2683.8377015356923,4743.255547463279,13.043452912489649
Peru,1,xgboost,xgboost_climate,3001.044665766697,5126.586387122503,14.58507895757182
Peru,2,xgboost,xgboost_epidemiology,3636.6931481933593,5719.071670235656,17.674330980778564
Peru,2,xgboost,xgboost_climate,3860.5406518554687,5859.442261450674,18.76222998895048
Peru,4,xgboost,xgboost_epidemiology,4333.370568593343,6428.848000769779,21.060183680806706
Peru,4,xgboost,xgboost_climate,4098.503634134929,6190.3973181135425,19.918730232054493
Singapore,1,xgboost,xgboost_epidemiology,13.58997382369696,18.52621435626365,0.3754003179738839
Singapore,1,xgboost,xgboost_climate,13.877363017961091,19.20695351368217,0.3833389642368289
Singapore,2,xgboost,xgboost_epidemiology,18.375134353637694,22.323108672996508,0.5075823815893058
Singapore,2,xgboost,xgboost_climate,20.24127555847168,24.665436164506563,0.559131414042723
Singapore,4,xgboost,xgboost_epidemiology,32.26072390874227,36.58541689903797,0.891148590168144
Singapore,4,xgboost,xgboost_climate,34.30025053024292,39.5416302890398,0.9474871050291876
Sri Lanka,1,xgboost,xgboost_epidemiology,77.97070855034723,108.59996741716652,0.3727209816853769
Sri Lanka,1,xgboost,xgboost_climate,101.39462076822916,131.54232185386897,0.484693589336153
Sri Lanka,2,xgboost,xgboost_epidemiology,89.54186595569958,106.46331477154853,0.4280342297953909
Sri Lanka,2,xgboost,xgboost_climate,101.95985967462713,130.72581549357446,0.4873955835080205
Sri Lanka,4,xgboost,xgboost_epidemiology,108.35117521740142,128.5423924858672,0.5179477927626744
Sri Lanka,4,xgboost,xgboost_climate,108.76549130394343,135.3687488699716,0.5199283352173358
Taiwan,1,xgboost,xgboost_epidemiology,5.084562003612518,11.87192379279292,0.2853019512573276
Taiwan,1,xgboost,xgboost_climate,3.45974189072263,6.892523017852733,0.1941310011695364
Taiwan,2,xgboost,xgboost_epidemiology,6.115276027023793,12.917635209219224,0.3431367700398694
Taiwan,2,xgboost,xgboost_climate,5.371535530984402,11.7330987429454,0.3014044409624833
