horizon_weeks,model_family,model_standard,median_mae,median_rmse,median_mase,settings_evaluated
1,baseline,moving_average_4,248.05912990196077,331.652984526389,1.4838734000397622,6
1,baseline,persistence,193.39215686274508,275.19967232817237,0.8121110135898335,6
1,baseline,seasonal_naive,967.3645098039215,1151.831202275428,7.0295112079888975,6
1,negative_binomial,negative_binomial_climate_informed,239.918650188242,306.7547534147575,1.255246352988395,6
1,negative_binomial,negative_binomial_epidemiology_only,247.7849862988395,317.2347525135145,0.828906432745431,6
1,xgboost,xgboost_climate,697.6732996323528,811.3031085291597,0.7586606219022635,6
1,xgboost,xgboost_epidemiology,646.7542021707771,760.2689415572454,0.6956931943269962,6
2,baseline,moving_average_4,292.2646276595745,399.6426815788295,1.8426189026793671,6
2,baseline,persistence,257.2,335.8921359423111,1.2417235035201648,6
2,baseline,seasonal_naive,966.3591836734694,1154.2337321041578,7.016407246525851,6
2,negative_binomial,negative_binomial_climate_informed,336.17758505261,428.146830251157,1.27923469906443,5
2,negative_binomial,negative_binomial_epidemiology_only,280.0666436156685,352.8892333178925,1.0418455630617125,6
2,xgboost,xgboost_climate,714.176340970126,827.0275852403529,1.037037614838265,6
2,xgboost,xgboost_epidemiology,713.7387906438655,814.7779267612912,1.246126423625236,6
4,baseline,moving_average_4,407.2447916666667,531.0540985206268,3.001204154645948,5
4,baseline,persistence,400.6041666666667,523.1711200298936,2.9522658459253335,5
4,baseline,seasonal_naive,1224.6666666666667,1362.5582556353324,4.918679019283095,5
4,negative_binomial,negative_binomial_climate_informed,346.053490704294,433.676657121251,2.22315721557557,5
4,negative_binomial,negative_binomial_epidemiology_only,462.757955934362,628.188623341221,1.97095315166494,5
4,xgboost,xgboost_climate,1434.7882970174153,1686.0176565155173,2.13511307948226,5
4,xgboost,xgboost_epidemiology,1125.2466735839844,1342.768456809549,2.0139219912444273,5
