horizon_weeks,model_family,model_standard,median_delta_mase_vs_persistence,settings_beating_persistence,settings_evaluated
1,baseline,moving_average_4,0.36595415772850903,1,6
1,baseline,persistence,0.0,0,6
1,baseline,seasonal_naive,5.831158168729308,0,6
1,negative_binomial,negative_binomial_climate_informed,0.32643460570396965,1,6
1,negative_binomial,negative_binomial_epidemiology_only,0.25402228832935975,1,6
1,xgboost,xgboost_climate,0.016781504650877008,2,6
1,xgboost,xgboost_epidemiology,0.05839765656330011,2,6
2,baseline,moving_average_4,0.3846425093997364,2,6
2,baseline,persistence,0.0,0,6
2,baseline,seasonal_naive,5.495458577150382,0,6
2,negative_binomial,negative_binomial_climate_informed,0.015067943808594109,2,5
2,negative_binomial,negative_binomial_epidemiology_only,0.1745490361244727,1,6
2,xgboost,xgboost_climate,0.09547792475973013,2,6
2,xgboost,xgboost_epidemiology,0.17996510453681167,1,6
4,baseline,moving_average_4,0.36736369304667105,1,5
4,baseline,persistence,0.0,0,5
4,baseline,seasonal_naive,4.448506940336764,1,5
4,negative_binomial,negative_binomial_climate_informed,-0.11482281731818378,3,5
4,negative_binomial,negative_binomial_epidemiology_only,0.10469233986047738,2,5
4,xgboost,xgboost_climate,0.477315026082857,2,5
4,xgboost,xgboost_epidemiology,0.4209765112218133,2,5
