setting,test_year,horizon_weeks,model,n_predictions,mae,rmse,mase
Brazil,2023,1,moving_average_4,52,17234.75480769231,23549.87141202339,2.135870791095011
Brazil,2023,1,persistence,52,9162.884615384615,12875.723090971807,1.1355390796415001
Brazil,2023,1,seasonal_naive,52,15458.288461538461,23159.862400365124,1.9157166535716976
Brazil,2023,2,moving_average_4,52,23181.75480769231,31546.433473421825,2.872871330781993
Brazil,2023,2,persistence,52,14482.442307692309,20792.705295829852,1.794781872667699
Brazil,2023,2,seasonal_naive,52,15458.288461538461,23159.862400365124,1.9157166535716976
Brazil,2023,4,moving_average_4,52,33910.0,46464.1685599899,4.202402606488237
Brazil,2023,4,persistence,52,26300.173076923078,36402.88983219073,3.2593310495297345
Brazil,2023,4,seasonal_naive,52,15458.288461538461,23159.862400365124,1.9157166535716976
Colombia,2023,1,moving_average_4,52,326.2067307692308,396.3988633866535,2.4039914461556036
Colombia,2023,1,persistence,52,282.7692307692308,381.37645443839347,2.083877332641936
Colombia,2023,1,seasonal_naive,52,1197.826923076923,1333.66834332978,8.827425694931193
Colombia,2023,2,moving_average_4,52,356.7980769230769,446.519475305303,2.6294353979306417
Colombia,2023,2,persistence,52,364.28846153846155,447.62675471698685,2.6846360386450074
Colombia,2023,2,seasonal_naive,52,1197.826923076923,1333.66834332978,8.827425694931193
Colombia,2023,4,moving_average_4,52,422.6442307692308,530.7650637378231,3.114690837740625
Colombia,2023,4,persistence,52,427.5192307692308,545.2465038860863,3.1506173137896405
Colombia,2023,4,seasonal_naive,52,1197.826923076923,1333.66834332978,8.827425694931193
Mexico,2023,1,moving_average_4,52,1496.1298076923076,2425.0933564008656,4.2513817477094555
Mexico,2023,1,persistence,52,839.9230769230769,1391.9892931727932,2.3867137866991204
Mexico,2023,1,seasonal_naive,52,4193.173076923077,6275.74388940344,11.915262561150511
Mexico,2023,2,moving_average_4,52,2019.6586538461538,3210.155224612319,5.739034068714207
Mexico,2023,2,persistence,52,1403.423076923077,2165.0228280906986,3.9879475850748327
Mexico,2023,2,seasonal_naive,52,4193.173076923077,6275.74388940344,11.915262561150511
Mexico,2023,4,moving_average_4,52,3002.581730769231,4576.893112549377,8.532094675586755
Mexico,2023,4,persistence,52,2464.1923076923076,3757.651429980004,7.002214744941201
Mexico,2023,4,seasonal_naive,52,4193.173076923077,6275.74388940344,11.915262561150511
Peru,2023,1,moving_average_4,52,1637.7836538461538,2572.1820856017143,7.959629584741287
Peru,2023,1,persistence,52,781.7115384615385,1317.4516995963195,3.7991185671319245
Peru,2023,1,seasonal_naive,52,3872.6153846153848,6074.53044402484,18.8209131977357
Peru,2023,2,moving_average_4,52,2207.2259615384614,3411.2747685982436,10.727119557221382
Peru,2023,2,persistence,52,1405.7692307692307,2280.426031384352,6.8320393430919255
Peru,2023,2,seasonal_naive,52,3872.6153846153848,6074.53044402484,18.8209131977357
Peru,2023,4,moving_average_4,52,3216.4471153846152,4796.398127887417,15.6319349977931
Peru,2023,4,persistence,52,2574.0576923076924,3975.291636616595,12.50992199879887
Peru,2023,4,seasonal_naive,52,3872.6153846153848,6074.53044402484,18.8209131977357
Philippines,2023,1,moving_average_4,41,560.8536585365854,795.2388121141239,1.0103225375736544
Philippines,2023,1,persistence,45,332.77777777777777,579.0807082494345,0.5994663380993785
