setting,test_year,horizon_weeks,n_predictions_epidemiology,mae_epidemiology,rmse_epidemiology,mase_epidemiology,n_predictions_climate,mae_climate,rmse_climate,mase_climate,family,epidemiology_model,climate_model,delta_mae,delta_rmse,delta_mase,climate_improves_mae,climate_improves_rmse,climate_improves_mase
Brazil,2023,1,52,7557.01615655717,12140.045888207802,0.936526817858731,52,7407.804884836568,11518.130178732295,0.9180353452195072,negative_binomial,negative_binomial_epidemiology,negative_binomial_climate,-149.21127172060187,-621.9157094755064,-0.018491472639223794,True,True,True
Colombia,2023,1,52,357.6138310361917,442.2212309969334,2.635447125234581,52,336.75432947858377,422.60223096873705,2.481722328700466,negative_binomial,negative_binomial_epidemiology,negative_binomial_climate,-20.859501557607928,-19.619000028196353,-0.15372479653411508,True,True,True
Peru,2023,1,52,1985.566306651005,3658.934139403631,9.649853495466273,52,2098.426081316768,3516.765290126674,10.19835207111589,negative_binomial,negative_binomial_epidemiology,negative_binomial_climate,112.85977466576287,-142.1688492769572,0.5484985756496172,False,True,False
Philippines,2023,1,36,585.5749337865282,822.7415631118303,1.0548554761796878,36,543.2299561372198,810.7611500289263,0.9785751762815316,negative_binomial,negative_binomial_epidemiology,negative_binomial_climate,-42.34497764930836,-11.980413082903965,-0.07628029989815621,True,True,True
Singapore,2025,1,52,13.47920112823864,18.419134977145543,0.3723404073635067,52,13.37768209963336,18.154266345562235,0.369536113837027,negative_binomial,negative_binomial_epidemiology,negative_binomial_climate,-0.10151902860528139,-0.2648686315833082,-0.0028042935264797064,True,True,True
Sri Lanka,2024,1,42,85.22040811105784,106.08092311552714,0.4073764976788899,42,88.93179764549167,115.78904020206684,0.4251179390023041,negative_binomial,negative_binomial_epidemiology,negative_binomial_climate,3.7113895344338346,9.708117086539701,0.01774144132341421,False,False,False
Brazil,2023,2,52,10772.297006694904,16035.962628107944,1.3349905343202624,52,10162.155496283647,14421.068462602389,1.2593768429702494,negative_binomial,negative_binomial_epidemiology,negative_binomial_climate,-610.1415104112566,-1614.894165505555,-0.07561369135001295,True,True,True
Colombia,2023,2,52,404.97309425682937,505.4570971463389,2.984462804372075,52,386.74424221752025,490.331052543881,2.8501246677174503,negative_binomial,negative_binomial_epidemiology,negative_binomial_climate,-18.228852039309118,-15.12604460245791,-0.13433813665462457,True,True,True
Peru,2023,2,52,2481.546166596454,4506.49935816274,12.060315925828563,52,2621.555209917557,4425.775062782902,12.740759964168356,negative_binomial,negative_binomial_epidemiology,negative_binomial_climate,140.00904332110304,-80.72429537983771,0.6804440383397932,False,True,False
Philippines,2023,2,35,886.186366274844,1247.2673684999274,1.5963773164538826,35,828.6541956353545,1181.2518460682093,1.4927387866023063,negative_binomial,negative_binomial_epidemiology,negative_binomial_climate,-57.532170639489436,-66.01552243171818,-0.10363852985157629,True,True,True
