setting,climate_variable,lag_weeks,n,beta,se,p_value,adjusted_r2,q_value_fdr_bh,significant_fdr_0_05,ci_lower,ci_upper
Brazil,humidity,6,352,-0.09552855330556431,0.022825957861801905,2.8506054305450122e-05,0.9344259587782191,0.0012627600502512137,True,-0.14026743071469605,-0.05078967589643258
Brazil,rainfall,0,362,-0.07061877705861885,0.037493908091454274,0.05963624676281304,0.8884098564047145,0.25257704511309054,False,-0.14410683691786924,0.00286928280063152
Brazil,temperature,0,362,0.06927661502127913,0.03221584347350353,0.03152440965449955,0.8898650027782824,0.18351601371399928,False,0.0061335618132122155,0.13241966822934603
Colombia,humidity,2,308,0.01700237166780927,0.008446939607754849,0.04413104389450219,0.8947235871406237,0.23536556743734502,False,0.0004463700366097653,0.03355837329900877
Colombia,rainfall,2,308,0.022954119747156443,0.010220281626277028,0.024707973983285635,0.8949654087244898,0.16942610731395863,False,0.0029223677596534672,0.04298587173465942
Colombia,temperature,8,296,0.023396206334072134,0.012109379189137348,0.05335047842862738,0.8899849881707544,0.24007715292882323,False,-0.00033817687663706755,0.04713058954478133
Mexico,humidity,4,356,0.30508750536312257,0.20926193853836886,0.14486214739833708,0.6655604928389482,0.4090225338305988,False,-0.1050658941720804,0.7152409048983255
Mexico,rainfall,6,352,0.13668830180996405,0.09471099357826264,0.14895998902305246,0.6623062452600057,0.41226410920592865,False,-0.04894524560343072,0.3223218492233588
Mexico,temperature,0,362,0.38363805519711114,0.18011421786496842,0.03317401019480514,0.669680385656346,0.18373297954045925,False,0.030614188181773028,0.7366619222124493
Peru,humidity,4,356,0.0280853497910577,0.056667509867002586,0.6201650479884525,0.8152756199951482,0.8332051835686068,False,-0.08298296954826737,0.13915366913038277
Peru,rainfall,8,348,0.12340184851485991,0.05623275509980235,0.02820067488084853,0.8164791868815724,0.18351601371399928,False,0.013185648519247306,0.23361804851047252
Peru,temperature,4,356,0.13342472431554153,0.04076517578978277,0.0010640967046328142,0.8188909500248339,0.025538320911187542,True,0.053524979767567316,0.21332446886351575
Philippines,humidity,6,340,0.05187685339823356,0.027425486493792655,0.058550115048892896,0.9064878077214874,0.25257704511309054,False,-0.0018771001296000456,0.10563080692606716
Philippines,rainfall,0,353,0.03832662736402981,0.015320125880855413,0.012359249259135771,0.9083434839712057,0.12724423809938643,False,0.008299180637553197,0.06835407409050642
Philippines,temperature,0,353,-0.057373200531384394,0.017998392304986545,0.0014341680891818464,0.9089351493707358,0.02950288640602655,True,-0.09265004944915803,-0.022096351613610767
Singapore,humidity,1,519,0.025594858187316702,0.009322176031624755,0.006040249570683594,0.9585528082150514,0.08225387524834472,False,0.007323393165332183,0.04386632320930122
Singapore,rainfall,4,516,0.01949829218030321,0.008585228339605733,0.023138245592110755,0.9580091151213881,0.16942610731395863,False,0.0026712446346759747,0.036325339725930446
Singapore,temperature,8,512,0.02642872014056965,0.00927197408485867,0.004366597813951651,0.9580336778423902,0.06986556502322641,False,0.008255650934246659,0.04460178934689264
Sri Lanka,humidity,6,459,0.0705930072682176,0.01665220288318119,2.2425842415245213e-05,0.8833707606762923,0.0012627600502512137,True,0.03795468961718247,0.10323132491925273
Sri Lanka,rainfall,6,459,0.05471441919807468,0.012639403670415049,1.4987185364021755e-05,0.8818978357952415,0.0012627600502512137,True,0.029941188004061186,0.07948765039208817
Sri Lanka,temperature,2,463,-0.05066585266031198,0.022535402582071963,0.024558460696884287,0.878719566232414,0.16942610731395863,False,-0.09483524172117302,-0.006496463599450934
Taiwan,humidity,0,467,0.06424218924347139,0.08575216214729964,0.4537600760608633,0.7989447854240873,0.7297319071966573,False,-0.1038320485652359,0.23231642705217867
Taiwan,rainfall,6,462,0.06492542256680209,0.03528383087015145,0.06575503258737685,0.7966499092518504,0.26055271649284456,False,-0.0042308859386947645,0.13408173107229893
Taiwan,temperature,6,462,-0.07371138351823528,0.07610761282661613,0.3327871075142057,0.7956815774673263,0.6201123505180195,False,-0.2228823046584029,0.07545953762193233
