setting,climate_variable,lag_weeks,n,beta,se,p_value,adjusted_r2,q_value_fdr_bh,significant_fdr_0_05,ci_lower,ci_upper
Brazil,rainfall,0,362,-0.07061877705861885,0.037493908091454274,0.05963624676281304,0.8884098564047145,0.25257704511309054,False,-0.14410683691786924,0.00286928280063152
Brazil,rainfall,1,362,-0.03156655804773578,0.033393241850022515,0.34450686139889974,0.8878050387235837,0.6201123505180195,False,-0.09701731207377991,0.03388419597830834
Brazil,rainfall,2,360,-0.02323659647252252,0.035528605381350005,0.513095693060019,0.9350698232558308,0.7777450505330814,False,-0.09287266301996852,0.04639947007492348
Brazil,rainfall,4,356,-0.03491059959592868,0.0422153314441388,0.4082569261020915,0.9342978401595177,0.683592992543037,False,-0.11765264922644073,0.04783145003458336
Brazil,rainfall,6,352,-0.034919561039939984,0.0396129935192399,0.37803759482000954,0.9331928020460072,0.6404401606362514,False,-0.11256102833765019,0.042721906257770226
Brazil,rainfall,8,348,-0.03765085836997917,0.027894667694238613,0.17709583550567876,0.9316547308871004,0.439686212289961,False,-0.09232440705068684,0.017022690310728512
Brazil,temperature,0,362,0.06927661502127913,0.03221584347350353,0.03152440965449955,0.8898650027782824,0.18351601371399928,False,0.0061335618132122155,0.13241966822934603
Brazil,temperature,1,362,0.05856137841088549,0.038761184562755374,0.1308329661875437,0.8892210275904016,0.37679894262012587,False,-0.017410543332115044,0.13453330015388604
Brazil,temperature,2,360,-0.00560360851928543,0.01996023622728837,0.7789109101093468,0.9350033805056701,0.8973053684459674,False,-0.04472567152477064,0.03351845448619978
Brazil,temperature,4,356,-0.005637642094211359,0.018081314562746,0.7551972228655534,0.9341328780276746,0.8846252066235992,False,-0.04107701863719352,0.0298017344487708
Brazil,temperature,6,352,-0.04493700096104025,0.025051551804461464,0.07284810960878622,0.9339986154228135,0.2643774262610875,False,-0.09403804249778472,0.004164040575704214
Brazil,temperature,8,348,-0.03543264098853338,0.020307283260531085,0.08101546023529092,0.9321094314094167,0.2777672922352831,False,-0.0752349161791743,0.004369634202107543
Brazil,humidity,0,362,0.010317798619787322,0.04833005099398054,0.8309477568762458,0.8876713575031451,0.9301231625607864,False,-0.08440910132841455,0.10504469856798919
Brazil,humidity,1,362,0.02729251041250924,0.056626835676277486,0.6298263242349025,0.8877671778024395,0.8332051835686068,False,-0.08369608751299464,0.1382811083380131
Brazil,humidity,2,360,-0.053700296496851596,0.02146825133055411,0.012370967592995902,0.9354226968794312,0.12724423809938643,False,-0.09577806910473766,-0.011622523888965543
Brazil,humidity,4,356,-0.056230733778257935,0.018131535012554854,0.0019269436172222561,0.9346018000030657,0.034684985110000614,True,-0.09176854240286544,-0.02069292515365042
Brazil,humidity,6,352,-0.09552855330556431,0.022825957861801905,2.8506054305450122e-05,0.9344259587782191,0.0012627600502512137,True,-0.14026743071469605,-0.05078967589643258
Brazil,humidity,8,348,-0.05794071230486697,0.03236734271706788,0.0734381739614132,0.9319761325176185,0.2643774262610875,False,-0.12138070403032,0.005499279420586062
Colombia,rainfall,0,310,-0.011795783583614328,0.019732713786272206,0.549988024579112,0.8890543398256907,0.7790340372847568,False,-0.05047190260470785,0.026880335437479197
Colombia,rainfall,1,310,0.013147769390190966,0.01140435040629293,0.2489624536793852,0.8891058782346362,0.5395893360844026,False,-0.009204757406143176,0.03550029618652511
Colombia,rainfall,2,308,0.022954119747156443,0.010220281626277028,0.024707973983285635,0.8949654087244898,0.16942610731395863,False,0.0029223677596534672,0.04298587173465942
Colombia,rainfall,4,304,-0.007251107323147821,0.011794746783629156,0.5387037768698222,0.8924776732623223,0.7790340372847568,False,-0.030368811019060967,0.015866596372765326
Colombia,rainfall,6,300,0.0014935481535055528,0.011278911147605791,0.8946524651599509,0.8906146630542807,0.9305564067786832,False,-0.0206131176958018,0.023600214002812904
Colombia,rainfall,8,296,-0.010316297090978255,0.010356791605898669,0.31920639284850116,0.8892398654988041,0.6201123505180195,False,-0.030615608638539644,0.009983014456583134
Colombia,temperature,0,310,0.008520028768528531,0.01123460423270988,0.4482272771428366,0.8889573427010856,0.7297319071966573,False,-0.013499795527582834,0.030539853064639896
Colombia,temperature,1,310,-0.006222495344852863,0.010805403283286382,0.5647038205499133,0.8889039990692157,0.7818975976844954,False,-0.027401085780094172,0.014956095090388446
Colombia,temperature,2,308,0.01072137287285313,0.009116732420031758,0.23959068807075,0.8943465101700968,0.5395893360844026,False,-0.007147422670409118,0.028590168416115377
Colombia,temperature,4,304,0.021054931138512645,0.011492704327351281,0.06694757298774477,0.8931280283238453,0.26055271649284456,False,-0.0014707693430958645,0.04358063162012116
Colombia,temperature,6,300,0.013544613894384994,0.01049826448979914,0.19698939145578498,0.8909132307536909,0.45752374789730704,False,-0.007031984505621321,0.03412121229439131
Colombia,temperature,8,296,0.023396206334072134,0.012109379189137348,0.05335047842862738,0.8899849881707544,0.24007715292882323,False,-0.00033817687663706755,0.04713058954478133
Colombia,humidity,0,310,0.008701327158139094,0.011057879132601428,0.43134665118692317,0.8889908666211869,0.7139530778266315,False,-0.012972115941759704,0.030374770258037892
Colombia,humidity,1,310,0.016949310194483556,0.00864523615509523,0.04993299239550765,0.8894054563047169,0.23769235901491387,False,4.647330496904134e-06,0.03389397305847021
Colombia,humidity,2,308,0.01700237166780927,0.008446939607754849,0.04413104389450219,0.8947235871406237,0.23536556743734502,False,0.0004463700366097653,0.03355837329900877
Colombia,humidity,4,304,0.01329625556578215,0.011584312692130392,0.25105892720593737,0.8927409728180155,0.5395893360844026,False,-0.009408997310793418,0.03600150844235772
Colombia,humidity,6,300,0.0034804678925512353,0.00985491286748404,0.7239603645887649,0.8906347768098869,0.8834770550913741,False,-0.015835161327717482,0.022796097112819953
Colombia,humidity,8,296,-0.0022721766045942227,0.010512314109249589,0.8288752819534881,0.8890847861623952,0.9301231625607864,False,-0.022876312258723417,0.01833195904953497
Mexico,rainfall,0,362,0.07539139572712006,0.06673259028183155,0.2585799913885627,0.662275813381397,0.5396451994196091,False,-0.05540448122526978,0.2061872726795099
Mexico,rainfall,1,362,0.055438689094762794,0.09444938147587696,0.5572257350022913,0.6617791669752142,0.7790340372847568,False,-0.12968209859795604,0.24055947678748163
Mexico,rainfall,2,360,0.06749368858898053,0.10458488865992989,0.5187014463849171,0.662667240909231,0.7780521695773757,False,-0.13749269318448204,0.2724800703624431
Mexico,rainfall,4,356,-0.03524055256143355,0.058422603849870525,0.5463752159715418,0.6608156873601927,0.7790340372847568,False,-0.14974885610717978,0.07926775098431268
Mexico,rainfall,6,352,0.13668830180996405,0.09471099357826264,0.14895998902305246,0.6623062452600057,0.41226410920592865,False,-0.04894524560343072,0.3223218492233588
Mexico,rainfall,8,348,0.008312856142445257,0.058957148338318326,0.8878713060471721,0.6567747131518509,0.9305564067786832,False,-0.10724315460065866,0.12386886688554917
Mexico,temperature,0,362,0.38363805519711114,0.18011421786496842,0.03317401019480514,0.669680385656346,0.18373297954045925,False,0.030614188181773028,0.7366619222124493
Mexico,temperature,1,362,0.06410571925323594,0.13799886550506227,0.6422623290008012,0.6614212538956987,0.8332051835686068,False,-0.2063720571366861,0.334583495643158
Mexico,temperature,2,360,0.1553619640888002,0.13950456417867652,0.265421042054542,0.6632047225955621,0.5460090007979149,False,-0.11806698170140578,0.4287909098790062
Mexico,temperature,4,356,0.2247663727410325,0.22168062561559726,0.31062102874835973,0.6635604124669283,0.6201123505180195,False,-0.20972765346553812,0.6592603989476031
Mexico,temperature,6,352,-0.017234017900423337,0.11679570263088694,0.8826924303408322,0.6588251348379293,0.9305564067786832,False,-0.24615359505696174,0.21168555925611507
Mexico,temperature,8,348,-0.04164817999646653,0.1061127172850339,0.6946962015485236,0.6568686182588162,0.8550107095981829,False,-0.24962910587513296,0.1663327458821999
Mexico,humidity,0,362,0.15274198629624047,0.14283674950831374,0.2849135392293578,0.6624372590814327,0.5778528119581341,False,-0.12721804274005444,0.4327020153325354
