setting,model,horizons_evaluated,total_predictions,median_mae,median_rmse,median_mase,min_mase,max_mase,horizons_mase_below_1,mase_range,fraction_horizons_mase_below_1,all_horizons_mase_below_1
Brazil,negative_binomial_climate,3,156,10162.155496283647,14421.068462602389,1.2593768429702494,0.9180353452195072,1.5444892898363467,1,0.6264539446168395,0.3333333333333333,False
Brazil,negative_binomial_epidemiology,3,156,10772.297006694904,16035.962628107944,1.3349905343202624,0.936526817858731,1.7680134216778671,1,0.8314866038191361,0.3333333333333333,False
Brazil,xgboost_climate,3,156,12767.102249999998,18119.909315705223,1.5822030012592694,1.1415182730939135,1.95975263124311,0,0.8182343581491964,0.0,False
Brazil,xgboost_epidemiology,3,156,12800.658971153847,19625.66505206924,1.5863616226819215,1.145163459116789,1.9115158215158288,0,0.7663523623990398,0.0,False
Brazil,persistence,3,156,14482.442307692309,20792.705295829852,1.794781872667699,1.1355390796415,3.2593310495297345,0,2.1237919698882344,0.0,False
Brazil,seasonal_naive,3,156,15458.28846153846,23159.862400365124,1.9157166535716976,1.9157166535716976,1.9157166535716976,0,0.0,0.0,False
Brazil,moving_average_4,3,156,23181.75480769231,31546.433473421825,2.872871330781993,2.135870791095011,4.202402606488237,0,2.0665318153932257,0.0,False
Colombia,moving_average_4,3,156,356.7980769230769,446.519475305303,2.6294353979306417,2.4039914461556036,3.114690837740625,0,0.7106993915850213,0.0,False
Colombia,persistence,3,156,364.28846153846155,447.62675471698685,2.684636038645007,2.083877332641936,3.1506173137896405,0,1.0667399811477045,0.0,False
Colombia,negative_binomial_climate,3,156,386.74424221752025,490.331052543881,2.8501246677174503,2.481722328700466,3.430979111028654,0,0.9492567823281881,0.0,False
Colombia,negative_binomial_epidemiology,3,156,404.97309425682937,505.4570971463389,2.984462804372075,2.635447125234581,3.800990322036693,0,1.165543196802112,0.0,False
Colombia,xgboost_epidemiology,3,156,672.5173365384616,882.7312820106661,4.956139073578882,4.251545949942542,5.861933629044838,0,1.6103876791022964,0.0,False
Colombia,xgboost_climate,3,156,674.7978423076922,863.1962013192139,4.972945337352812,4.392371231024109,5.623659999626469,0,1.2312887686023597,0.0,False
Colombia,seasonal_naive,3,156,1197.826923076923,1333.66834332978,8.827425694931193,8.827425694931193,8.827425694931193,0,0.0,0.0,False
Peru,persistence,3,156,1405.7692307692307,2280.426031384352,6.8320393430919255,3.799118567131925,12.50992199879887,0,8.710803431666944,0.0,False
Peru,moving_average_4,3,156,2207.2259615384614,3411.2747685982436,10.727119557221382,7.959629584741287,15.6319349977931,0,7.672305413051814,0.0,False
Peru,negative_binomial_epidemiology,3,156,2481.546166596454,4506.49935816274,12.060315925828563,9.649853495466273,14.43917350681475,0,4.789320011348478,0.0,False
Peru,negative_binomial_climate,3,156,2621.555209917557,4425.775062782902,12.740759964168356,10.19835207111589,15.467809463412516,0,5.269457392296626,0.0,False
Peru,xgboost_epidemiology,3,156,3445.5503942307696,5785.400325618567,16.74537707665536,13.937065366284862,19.175408264292383,0,5.23834289800752,0.0,False
Peru,xgboost_climate,3,156,3456.918173076923,5719.537171741827,16.80062448897636,13.770557626884612,17.959414826197694,0,4.188857199313082,0.0,False
Peru,seasonal_naive,3,156,3872.6153846153848,6074.53044402484,18.8209131977357,18.8209131977357,18.8209131977357,0,0.0,0.0,False
Philippines,persistence,3,106,599.0285714285715,917.7251689445408,1.079090877188878,0.6853331357770526,1.595012223794874,1,0.9096790880178215,0.3333333333333333,False
Philippines,xgboost_epidemiology,3,106,711.9092708571427,1020.9549796456936,1.2824343215150484,0.8659179992292705,1.7142838100808289,1,0.8483658108515584,0.3333333333333333,False
Philippines,xgboost_climate,3,106,756.8496265714285,1068.5107470063192,1.3633899389629074,0.8901639176645207,1.782309763829264,1,0.8921458461647432,0.3333333333333333,False
