setting,horizon_weeks,mase_epidemiology_only,mase_climate_informed,delta_mase_climate_minus_epi,climate_improves_forecast
Brazil,1,1.01178163529269,1.00683004708237,-0.004951588210320157,True
Brazil,2,1.34148313463746,1.27923469906443,-0.06224843557302995,True
Brazil,4,1.97095315166494,2.22315721557557,0.25220406391063,False
Colombia,1,2.76830010706786,2.62758823150947,-0.14071187555838982,True
Colombia,2,2.98369122098832,2.47747199130433,-0.5062192296839898,True
Colombia,4,3.41031028110101,2.5502528093264,-0.8600574717746099,True
Peru,1,14.1351840933297,13.3469012040968,-0.7882828892328995,True
Peru,2,14.4282300586418,13.9391457492878,-0.48908430935400027,True
Peru,4,17.9561697483854,17.6774497306602,-0.27872001772519894,True
Philippines,1,0.617581642980005,0.620622996028474,0.0030413530484690865,False
Philippines,2,0.994019504193478,0.657650962863339,-0.33636854133013894,True
Philippines,4,1.55667247176327,0.881739884393896,-0.6749325873693741,True
Singapore,1,0.373758169688172,0.37875581567489,0.00499764598671798,False
Singapore,2,0.407304190011567,0.402876567555562,-0.004427622456004976,True
Singapore,4,0.574864418806808,0.50170248620299,-0.07316193260381809,True
Sri Lanka,1,0.573292032306836,0.589358788159326,0.016066755852489956,False
Sri Lanka,2,0.742207991485965,0.74960411913132,0.007396127645355022,False
Sri Lanka,4,1.27399575848943,1.18341864401244,-0.09057711447699002,True
Taiwan,1,0.646031230198172,1.50366265889442,0.857631428696248,False
