"setting","validation_year","test_year","horizon_weeks","model","n_prevalidation","n_validation","n_final_training","n_test","mae","rmse","mase"
"Brazil",2022,2023,1,"climate_informed",242,52,294,52,7407.80488483656,11518.1301787323,0.918035345219508
"Brazil",2022,2023,1,"epidemiology_only",242,52,294,52,7557.01615655717,12140.0458882078,0.936526817858733
"Brazil",2022,2023,2,"climate_informed",240,52,292,52,10162.1554962836,14421.0684626024,1.25937684297025
"Brazil",2022,2023,2,"epidemiology_only",240,52,292,52,10772.2970066949,16035.9626281079,1.33499053432026
"Brazil",2022,2023,4,"climate_informed",236,52,288,52,12462.7830131004,17665.8780995017,1.54448928983635
"Brazil",2022,2023,4,"epidemiology_only",236,52,288,52,14266.4424956649,21536.2767905702,1.76801342167787
"Colombia",2022,2023,1,"climate_informed",190,52,242,52,336.754329478584,422.602230968737,2.48172232870047
"Colombia",2022,2023,1,"epidemiology_only",190,52,242,52,357.613831036192,442.221230996933,2.63544712523458
"Colombia",2022,2023,2,"climate_informed",188,52,240,52,386.74424221752,490.331052543881,2.85012466771745
"Colombia",2022,2023,2,"epidemiology_only",188,52,240,52,404.97309425683,505.45709714634,2.98446280437208
"Colombia",2022,2023,4,"climate_informed",184,52,236,52,465.562587976753,582.198366365289,3.43097911102866
"Colombia",2022,2023,4,"epidemiology_only",184,52,236,52,515.770814667374,639.551685508819,3.80099032203669
"Peru",2022,2023,1,"climate_informed",242,52,294,52,2098.42608131677,3516.76529012667,10.1983520711159
"Peru",2022,2023,1,"epidemiology_only",242,52,294,52,1985.56630665101,3658.93413940363,9.64985349546628
"Peru",2022,2023,2,"climate_informed",240,52,292,52,2621.55520991756,4425.7750627829,12.7407599641684
"Peru",2022,2023,2,"epidemiology_only",240,52,292,52,2481.54616659645,4506.49935816274,12.0603159258286
"Peru",2022,2023,4,"climate_informed",236,52,288,52,3182.67643365558,5240.34961030644,15.4678094634125
"Peru",2022,2023,4,"epidemiology_only",236,52,288,52,2971.02297195383,5271.98978851072,14.4391735068148
"Philippines",2022,2023,1,"climate_informed",251,41,292,36,543.22995613722,810.761150028927,0.978575176281532
"Philippines",2022,2023,1,"epidemiology_only",251,41,292,36,585.574933786529,822.741563111831,1.05485547617969
"Philippines",2022,2023,2,"climate_informed",250,40,290,35,828.654195635355,1181.25184606821,1.49273878660231
"Philippines",2022,2023,2,"epidemiology_only",250,40,290,35,886.186366274844,1247.26736849993,1.59637731645388
"Philippines",2022,2023,4,"climate_informed",248,38,286,35,1446.59755627456,1971.43405739623,2.60590279060794
"Philippines",2022,2023,4,"epidemiology_only",248,38,286,35,1591.80331906715,2547.31755437836,2.86747664771305
"Singapore",2024,2025,1,"climate_informed",407,52,459,52,13.3776820996334,18.1542663455622,0.369536113837028
"Singapore",2024,2025,1,"epidemiology_only",407,52,459,52,13.4792011282386,18.4191349771455,0.372340407363507
"Singapore",2024,2025,2,"climate_informed",406,52,458,52,15.9017134064608,21.783066677211,0.439258261020774
"Singapore",2024,2025,2,"epidemiology_only",406,52,458,52,15.7473996571233,21.5904929924441,0.434995601554275
"Singapore",2024,2025,4,"climate_informed",404,52,456,52,22.6262764784484,28.3046464842251,0.625013079110104
"Singapore",2024,2025,4,"epidemiology_only",404,52,456,52,21.3330198544843,27.5695354543689,0.589289025910575
"Sri Lanka",2023,2024,1,"climate_informed",355,51,406,43,90.4743591465541,116.858545735555,0.432491798335837
"Sri Lanka",2023,2024,1,"epidemiology_only",355,51,406,43,84.0637187189245,104.979714653849,0.401847210928051
"Sri Lanka",2023,2024,2,"climate_informed",354,51,405,43,158.954646655317,273.847466469546,0.759846012000341
"Sri Lanka",2023,2024,2,"epidemiology_only",354,51,405,43,133.797814851575,193.60457257174,0.639589582113851
"Sri Lanka",2023,2024,4,"climate_informed",352,51,403,43,298.45929186033,407.945087998876,1.42671577985563
"Sri Lanka",2023,2024,4,"epidemiology_only",352,51,403,43,201.648571464493,251.394542737104,0.963934468585319
"Taiwan",2023,2024,1,"epidemiology_only",355,52,407,52,17.6393519855682,55.3897984985122,0.98976893915776
