setting,source_week,median_cases,mean_cases
Brazil,1,23775.0,233146.0
Brazil,2,22899.0,27834.428571428572
Brazil,3,25555.0,31335.285714285714
Brazil,4,24592.0,34517.28571428572
Brazil,5,28695.0,39035.57142857143
Brazil,6,31006.0,45247.42857142857
Brazil,7,33534.0,50152.142857142855
Brazil,8,33993.0,51760.0
Brazil,9,50089.0,57839.28571428572
Brazil,10,65071.0,64080.57142857143
Brazil,11,79634.0,69351.28571428571
Brazil,12,94505.0,76542.0
Brazil,13,106260.0,83113.85714285714
Brazil,14,113990.0,84243.42857142857
Brazil,15,101246.0,88098.28571428571
Brazil,16,80600.0,85297.42857142857
Brazil,17,65947.0,82429.28571428571
Brazil,18,51531.0,83001.71428571429
Brazil,19,39976.0,74187.71428571429
Brazil,20,36159.0,61810.71428571428
Brazil,21,31750.0,49058.57142857143
Brazil,22,27783.0,41137.71428571428
Brazil,23,26748.0,33903.42857142857
Brazil,24,24349.0,27784.0
Brazil,25,20273.0,24176.571428571428
Brazil,26,17729.0,20380.0
Brazil,27,15316.0,17005.0
Brazil,28,14517.0,15108.0
Brazil,29,13353.0,13087.285714285714
Brazil,30,11655.0,11771.57142857143
Brazil,31,9948.0,11382.42857142857
Brazil,32,10360.0,10435.285714285714
Brazil,33,9566.0,10018.57142857143
Brazil,34,9538.0,9447.857142857143
Brazil,35,8109.0,8699.285714285714
Brazil,36,7546.0,8512.285714285714
Brazil,37,8035.0,9048.42857142857
Brazil,38,7862.0,8904.142857142857
Brazil,39,7752.0,8782.42857142857
Brazil,40,7470.0,9030.57142857143
Brazil,41,6226.0,8804.285714285714
Brazil,42,6615.0,9637.42857142857
Brazil,43,6851.0,9347.57142857143
Brazil,44,6463.0,9278.42857142857
Brazil,45,7470.0,10624.142857142857
Brazil,46,7573.0,10903.285714285714
Brazil,47,9124.0,12190.57142857143
Brazil,48,10224.0,13027.142857142857
Brazil,49,11988.0,14045.142857142857
Brazil,50,12624.0,14459.42857142857
Brazil,51,7634.0,11695.57142857143
Brazil,52,4153.0,7916.571428571428
Colombia,1,747.5,1033.1666666666667
Colombia,2,1051.5,1468.0
Colombia,3,999.5,1430.3333333333333
Colombia,4,948.0,1371.0
Colombia,5,892.0,1365.3333333333333
Colombia,6,951.5,1346.5
Colombia,7,861.5,1265.1666666666667
Colombia,8,900.5,1278.1666666666667
Colombia,9,868.5,1149.5
Colombia,10,799.5,1141.6666666666667
Colombia,11,779.5,1052.1666666666667
Colombia,12,842.5,1121.8333333333333
Colombia,13,820.0,1288.1666666666667
Colombia,14,808.0,1106.3333333333333
Colombia,15,832.0,1159.3333333333333
Colombia,16,793.5,1127.6666666666667
Colombia,17,808.5,1190.3333333333333
Colombia,18,996.5,1382.5
Colombia,19,1059.5,1457.8333333333333
Colombia,20,1168.5,1419.3333333333333
Colombia,21,1330.0,1421.8333333333333
Colombia,22,1402.0,1506.6666666666667
Colombia,23,1212.5,1368.0
Colombia,24,1189.5,1251.0
Colombia,25,1258.0,1334.0
Colombia,26,1075.0,1169.0
Colombia,27,1278.5,1323.6666666666667
Colombia,28,1313.5,1395.1666666666667
Colombia,29,1246.0,1306.3333333333333
Colombia,30,1217.5,1295.5
Colombia,31,1266.0,1306.8333333333333
Colombia,32,1063.5,1295.1666666666667
Colombia,33,1255.5,1322.6666666666667
Colombia,34,1218.0,1270.8333333333333
Colombia,35,1081.5,1217.0
Colombia,36,1255.5,1313.1666666666667
Colombia,37,1180.0,1278.1666666666667
Colombia,38,1131.5,1324.6666666666667
Colombia,39,1139.5,1339.6666666666667
Colombia,40,1251.5,1409.1666666666667
Colombia,41,1190.0,1324.8333333333333
Colombia,42,1283.5,1459.8333333333333
Colombia,43,1248.5,1399.3333333333333
Colombia,44,1561.0,1517.8333333333333
Colombia,45,1456.5,1592.6666666666667
Colombia,46,1614.5,1770.3333333333333
Colombia,47,1647.5,1774.8333333333333
Colombia,48,1767.0,1893.8333333333333
Colombia,49,1883.0,1897.1666666666667
Colombia,50,1610.5,1873.3333333333333
Colombia,51,1042.5,1393.3333333333333
Colombia,52,1587.5,1658.5
Mexico,1,297.0,425.2857142857143
Mexico,2,531.0,665.1428571428571
Mexico,3,638.0,685.2857142857143
Mexico,4,617.0,684.2857142857143
Mexico,5,497.0,607.1428571428571
Mexico,6,460.0,684.1428571428571
Mexico,7,537.0,767.2857142857143
Mexico,8,616.0,754.7142857142857
Mexico,9,520.0,756.1428571428571
Mexico,10,659.0,788.2857142857143
Mexico,11,635.0,691.8571428571429
Mexico,12,563.0,545.5714285714286
Mexico,13,700.0,659.8571428571429
Mexico,14,655.0,650.7142857142857
Mexico,15,557.0,602.1428571428571
Mexico,16,571.0,694.2857142857143
Mexico,17,704.0,707.7142857142857
Mexico,18,534.0,695.4285714285714
Mexico,19,601.0,809.0
Mexico,20,773.0,954.8571428571429
Mexico,21,831.0,1058.4285714285713
Mexico,22,1013.0,1161.857142857143
Mexico,23,1146.0,1553.5714285714287
Mexico,24,1288.0,1386.0
Mexico,25,1394.0,1627.2857142857142
Mexico,26,1392.0,1714.2857142857142
Mexico,27,1451.0,1899.5714285714287
Mexico,28,1239.0,1995.4285714285713
Mexico,29,1314.0,2138.8571428571427
Mexico,30,1371.0,2372.0
Mexico,31,1382.0,2607.5714285714284
Mexico,32,1621.0,3312.0
Mexico,33,1978.0,3818.1428571428573
Mexico,34,2217.0,4591.0
Mexico,35,3112.0,5705.285714285715
Mexico,36,3982.0,6406.142857142857
Mexico,37,3942.0,5979.428571428572
Mexico,38,3824.0,7334.142857142857
Mexico,39,4334.0,7383.714285714285
Mexico,40,4878.0,7878.714285714285
Mexico,41,4982.0,7830.285714285715
Mexico,42,5047.0,7482.0
Mexico,43,4789.0,6347.571428571428
Mexico,44,4223.0,5480.428571428572
Mexico,45,4423.0,5109.285714285715
Mexico,46,3721.0,3562.1428571428573
Mexico,47,2018.0,3270.0
Mexico,48,2185.0,3244.285714285714
Mexico,49,1464.0,2606.1428571428573
Mexico,50,841.0,1683.857142857143
Mexico,51,481.0,1007.5714285714286
Mexico,52,489.0,1155.4285714285713
Peru,1,403.0,769.4285714285714
Peru,2,524.0,782.2857142857143
Peru,3,613.0,843.0
Peru,4,704.0,819.4285714285714
Peru,5,772.0,857.5714285714286
Peru,6,892.0,992.4285714285714
Peru,7,937.0,1106.7142857142858
Peru,8,1026.0,1112.857142857143
Peru,9,1178.0,1206.2857142857142
Peru,10,1259.0,1236.5714285714287
Peru,11,1260.0,1398.5714285714287
Peru,12,1245.0,1486.857142857143
Peru,13,1132.0,1606.5714285714287
Peru,14,1208.0,1777.857142857143
Peru,15,1468.0,2142.8571428571427
Peru,16,1637.0,2567.0
Peru,17,1422.0,2613.285714285714
Peru,18,968.0,3007.1428571428573
Peru,19,1701.0,3957.4285714285716
Peru,20,1112.0,5134.285714285715
Peru,21,1235.0,4364.857142857143
Peru,22,1382.0,3909.285714285714
Peru,23,956.0,3310.5714285714284
Peru,24,864.0,2759.8571428571427
Peru,25,812.0,2268.1428571428573
Peru,26,607.0,1657.857142857143
Peru,27,374.0,1476.5714285714287
Peru,28,563.0,1528.142857142857
Peru,29,543.0,1377.142857142857
Peru,30,441.0,985.5714285714286
Peru,31,493.0,1055.2857142857142
Peru,32,314.0,985.0
Peru,33,210.0,851.5714285714286
Peru,34,205.0,755.0
Peru,35,174.0,694.0
Peru,36,407.0,744.1428571428571
Peru,37,428.0,654.0
Peru,38,129.0,543.2857142857143
Peru,39,339.0,610.8571428571429
Peru,40,301.0,507.14285714285717
Peru,41,295.0,525.5714285714286
Peru,42,498.0,603.4285714285714
Peru,43,354.0,594.7142857142857
Peru,44,951.0,754.0
Peru,45,821.0,807.8571428571429
Peru,46,1256.0,937.5714285714286
Peru,47,945.0,897.1428571428571
Peru,48,757.0,920.4285714285714
Peru,49,450.0,802.5714285714286
Peru,50,600.0,879.0
Peru,51,683.0,773.4285714285714
Peru,52,614.0,600.4285714285714
Philippines,1,3107.0,3187.5714285714284
Philippines,2,3301.0,2971.0
Philippines,3,3261.0,3830.8571428571427
Philippines,4,3151.0,3598.5714285714284
Philippines,5,3033.0,3445.8571428571427
Philippines,6,2799.0,3276.714285714286
Philippines,7,2317.0,2981.4285714285716
Philippines,8,2408.0,2637.714285714286
Philippines,9,2425.0,2513.5714285714284
Philippines,10,1992.0,2286.714285714286
Philippines,11,1951.0,2094.0
Philippines,12,1905.0,1882.7142857142858
Philippines,13,1446.0,1805.2857142857142
Philippines,14,1423.0,1674.857142857143
Philippines,15,1282.0,1557.0
Philippines,16,1482.0,1593.0
Philippines,17,1596.0,1582.142857142857
Philippines,18,1484.0,1731.7142857142858
Philippines,19,1720.0,1849.142857142857
Philippines,20,1774.0,2069.0
Philippines,21,1920.0,2235.8571428571427
Philippines,22,2217.0,2460.714285714286
