setting,test_year,horizon_weeks,model,n_predictions,mae,rmse,mase,persistence_mae,persistence_rmse,persistence_mase,mase_improvement_vs_persistence,mase_percent_improvement_vs_persistence,beats_persistence
Brazil,2023,1,epidemiology_only,51,8164.26184388032,13861.6397124866,1.01178163529269,8840.450980392157,12497.107349224429,1.095580484887393,0.08379884959470285,7.648808166139975,True
Brazil,2023,1,climate_informed,51,8124.30652023931,13363.4129307741,1.00683004708237,8840.450980392157,12497.107349224429,1.095580484887393,0.08875043780502301,8.100768408096009,True
Brazil,2023,2,epidemiology_only,50,10824.6870552867,17852.9036804746,1.34148313463746,14112.3,20650.897749492637,1.7489108317176036,0.4074276970801436,23.29608174934849,True
Brazil,2023,2,climate_informed,50,10322.3923805636,15286.8905563493,1.27923469906443,14112.3,20650.897749492637,1.7489108317176036,0.46967613265317354,26.855350434985013,True
Brazil,2023,4,epidemiology_only,48,15904.0024555879,24718.9600970766,1.97095315166494,26478.625,37116.035419905325,3.2814462611685222,1.3104931095035823,39.93644890704125,True
Brazil,2023,4,climate_informed,48,17939.0858609725,25440.7096336875,2.22315721557557,26478.625,37116.035419905325,3.2814462611685222,1.0582890455929523,32.2506895242007,True
Colombia,2023,1,epidemiology_only,51,375.641156776506,473.986920798207,2.76830010706786,276.19607843137254,375.24820544044513,2.0354362659685825,-0.7328638410992774,-36.00524631266392,False
Colombia,2023,1,climate_informed,51,356.547427895019,439.610675831634,2.62758823150947,276.19607843137254,375.24820544044513,2.0354362659685825,-0.5921519655408876,-29.092139873959955,False
Colombia,2023,2,epidemiology_only,50,404.868395176667,507.138621335867,2.98369122098832,360.74,444.67491496597825,2.6584855322916963,-0.3252056886966237,-12.23274246733577,False
Colombia,2023,2,climate_informed,50,336.17758505261,428.146830251157,2.47747199130433,360.74,444.67491496597825,2.6584855322916963,0.1810135409873661,6.808896974937714,True
Colombia,2023,4,epidemiology_only,48,462.757955934362,628.188623341221,3.41031028110101,400.6041666666667,523.1711200298936,2.9522658459253335,-0.4580444351756765,-15.515013182429405,False
Colombia,2023,4,climate_informed,48,346.053490704294,433.676657121251,2.5502528093264,400.6041666666667,523.1711200298936,2.9522658459253335,0.4020130365989334,13.617101493545539,True
Peru,2023,1,epidemiology_only,51,2908.47371799073,4646.18469071139,14.1351840933297,779.8039215686274,1324.5988367922466,3.789847547836116,-10.345336545493584,-272.9750053244344,False
Peru,2023,1,climate_informed,51,2746.27561356297,4419.82665451327,13.3469012040968,779.8039215686274,1324.5988367922466,3.789847547836116,-9.557053656260685,-252.17514782929626,False
Peru,2023,2,epidemiology_only,50,2968.77123393717,4817.30892427385,14.4282300586418,1437.12,2322.0373037485856,6.984404101213432,-7.443825957428368,-106.57782467276083,False
Peru,2023,2,climate_informed,50,2868.13661536797,4665.6908654936,13.9391457492878,1437.12,2322.0373037485856,6.984404101213432,-6.954741648074368,-99.57530445390594,False
Peru,2023,4,epidemiology_only,48,3694.68465667908,5834.57898724769,17.9561697483854,2745.7083333333335,4133.476306331028,13.34414422182506,-4.612025526560339,-34.56216786848815,False
Peru,2023,4,climate_informed,48,3637.3348661932,5720.78580349128,17.6774497306602,2745.7083333333335,4133.476306331028,13.34414422182506,-4.33330550883514,-32.47346129358965,False
Philippines,2023,1,epidemiology_only,42,342.834006991673,604.388189391984,0.617581642980005,332.77777777777777,579.0807082494345,0.5994663380993785,-0.018115304880626404,-3.021905272956841,False
Philippines,2023,1,climate_informed,42,344.522333165443,626.327882029791,0.620622996028474,332.77777777777777,579.0807082494345,0.5994663380993785,-0.02115665792909549,-3.529248697462004,False
Philippines,2023,2,epidemiology_only,41,551.803463597378,872.566285313369,0.994019504193478,529.6744186046511,834.5289995936574,0.954156212671996,-0.039863291521481936,-4.1778579851039,False
Philippines,2023,2,climate_informed,41,365.077423144312,683.819719751537,0.657650962863339,529.6744186046511,834.5289995936574,0.954156212671996,0.296505249808657,31.07512646994467,True
Philippines,2023,4,epidemiology_only,39,864.145278821882,1267.82798316878,1.55667247176327,806.3170731707318,1144.1823473128918,1.452500664042072,-0.10417180772119816,-7.171893982568315,False
Philippines,2023,4,climate_informed,39,489.474421928245,922.927942064833,0.881739884393896,806.3170731707318,1144.1823473128918,1.452500664042072,0.570760779648176,39.295044317559345,True
Singapore,2025,1,epidemiology_only,51,13.5305259459277,18.7441046902744,0.373758169688172,13.07843137254902,18.27727615180697,0.361269812550597,-0.012488357137575012,-3.456795088802494,False
Singapore,2025,1,climate_informed,51,13.7114471516053,18.7987988774313,0.37875581567489,13.07843137254902,18.27727615180697,0.361269812550597,-0.017486003124292993,-4.840150634463549,False
Singapore,2025,2,epidemiology_only,50,14.7449349814466,20.0865380059712,0.407304190011567,13.88,18.540765895722863,0.3834118064592453,-0.023892383552321705,-6.231520039240457,False
Singapore,2025,2,climate_informed,50,14.584649359945,19.6680774415128,0.402876567555562,13.88,18.540765895722863,0.3834118064592453,-0.01946476109631673,-5.076724495281221,False
Singapore,2025,4,epidemiology_only,48,20.8108305446422,27.0673600076357,0.574864418806808,17.020833333333332,21.188145270410057,0.4701720789463307,-0.10469233986047738,-22.266813481373877,False
Singapore,2025,4,climate_informed,48,18.1622745861836,24.0979233354164,0.50170248620299,17.020833333333332,21.188145270410057,0.4701720789463307,-0.03153040725665929,-6.706141999609983,False
Sri Lanka,2024,1,epidemiology_only,50,119.928815821173,160.482584228822,0.573292032306836,110.58823529411764,175.15113921589963,0.5286415422922742,-0.04465049001456178,-8.446269625529261,False
Sri Lanka,2024,1,climate_informed,50,123.289872481465,173.898830997881,0.589358788159326,110.58823529411764,175.15113921589963,0.5286415422922742,-0.06071724586705174,-11.48552298855895,False
Sri Lanka,2024,2,epidemiology_only,49,155.26489205467,198.639845299918,0.742207991485965,153.66,227.10935691864393,0.7345361753227259,-0.007671816163239087,-1.0444436123065548,False
Sri Lanka,2024,2,climate_informed,49,156.812111935959,228.593560211348,0.74960411913132,153.66,227.10935691864393,0.7345361753227259,-0.015067943808594109,-2.0513548977998064,False
Sri Lanka,2024,4,epidemiology_only,47,266.511296279554,348.924414344923,1.27399575848943,271.5833333333333,419.4048362461581,1.2982414613306237,0.02424570284119376,1.867580381876211,True
Sri Lanka,2024,4,climate_informed,47,247.56317652981,321.081291509159,1.18341864401244,271.5833333333333,419.4048362461581,1.2982414613306237,0.11482281731818378,8.844488543794998,True
Taiwan,2024,1,epidemiology_only,51,11.5133662133631,24.8176609286601,0.646031230198172,3.2549019607843137,6.615489844475082,0.1826371435540143,-0.4633940866441577,-253.7239017358539,False
Taiwan,2024,1,climate_informed,51,26.7978048799593,90.8441614460593,1.50366265889442,3.2549019607843137,6.615489844475082,0.1826371435540143,-1.3210255153404056,-723.30605354092,False
Taiwan,2024,2,epidemiology_only,50,11.8621883061832,23.9890876996694,0.665604130214444,5.1,10.08265837961398,0.2861681990265008,-0.37943593118794317,-132.5919275722196,False
