setting,test_year,horizon_weeks,model,n_predictions,mae,rmse,mase
Brazil,2023,1,moving_average_4,52,17234.75480769231,23549.87141202339,2.135870791095011
Brazil,2023,1,negative_binomial_climate,52,7407.804884836568,11518.130178732297,0.9180353452195071
Brazil,2023,1,negative_binomial_epidemiology,52,7557.01615655717,12140.045888207802,0.936526817858731
Brazil,2023,1,persistence,52,9162.884615384615,12875.723090971807,1.1355390796415001
Brazil,2023,1,seasonal_naive,52,15458.288461538461,23159.862400365124,1.9157166535716976
Brazil,2023,1,xgboost_climate,52,9211.131884615386,14238.060605417255,1.1415182730939135
Brazil,2023,1,xgboost_epidemiology,52,9240.545596153845,14960.241975489767,1.145163459116789
Colombia,2023,1,moving_average_4,52,326.2067307692308,396.3988633866535,2.4039914461556036
Colombia,2023,1,negative_binomial_climate,52,336.75432947858377,422.60223096873705,2.481722328700466
Colombia,2023,1,negative_binomial_epidemiology,52,357.6138310361917,442.2212309969334,2.635447125234581
Colombia,2023,1,persistence,52,282.7692307692308,381.37645443839347,2.083877332641936
Colombia,2023,1,seasonal_naive,52,1197.826923076923,1333.66834332978,8.827425694931193
Colombia,2023,1,xgboost_climate,52,596.0175365384614,784.5628579146975,4.392371231024109
Colombia,2023,1,xgboost_epidemiology,52,576.9084192307693,815.2925058433457,4.251545949942542
Peru,2023,1,moving_average_4,52,1637.7836538461538,2572.1820856017143,7.959629584741287
Peru,2023,1,negative_binomial_climate,52,2098.426081316768,3516.765290126674,10.19835207111589
Peru,2023,1,negative_binomial_epidemiology,52,1985.566306651005,3658.934139403631,9.649853495466273
Peru,2023,1,persistence,52,781.7115384615385,1317.4516995963195,3.7991185671319245
Peru,2023,1,seasonal_naive,52,3872.6153846153848,6074.53044402484,18.8209131977357
Peru,2023,1,xgboost_climate,52,2833.4477057692316,5121.1390601465255,13.770557626884612
Peru,2023,1,xgboost_epidemiology,52,2867.708553076923,5123.410707589391,13.937065366284862
Philippines,2023,1,moving_average_4,36,630.5625,847.890121410853,1.135896138684509
Philippines,2023,1,negative_binomial_climate,36,543.2299561372198,810.7611500289263,0.9785751762815315
Philippines,2023,1,negative_binomial_epidemiology,36,585.5749337865282,822.7415631118303,1.0548554761796878
Philippines,2023,1,persistence,36,380.44444444444446,641.9091749530371,0.6853331357770526
Philippines,2023,1,seasonal_naive,36,3744.3333333333335,4822.264008395503,6.745047121072107
Philippines,2023,1,xgboost_climate,36,494.1507997222222,737.7250491858301,0.8901639176645207
Philippines,2023,1,xgboost_epidemiology,36,480.6913236111111,720.8065581450983,0.8659179992292705
Singapore,2025,1,moving_average_4,52,12.350961538461538,15.653819575672014,0.3411746739892073
Singapore,2025,1,negative_binomial_climate,52,13.37768209963336,18.154266345562235,0.36953611383702706
Singapore,2025,1,negative_binomial_epidemiology,52,13.479201128238639,18.419134977145546,0.37234040736350676
Singapore,2025,1,persistence,52,13.326923076923077,18.456289317861685,0.36813398065320463
Singapore,2025,1,seasonal_naive,52,185.6346153846154,208.68733513597283,5.127846053745143
Singapore,2025,1,xgboost_climate,52,12.737780192307694,18.218101833546378,0.35185989292604364
Singapore,2025,1,xgboost_epidemiology,52,12.367191903846154,17.207757085767966,0.34162301071194573
Sri Lanka,2024,1,moving_average_4,42,134.0,193.25223309250035,0.6405560815647876
Sri Lanka,2024,1,negative_binomial_climate,42,88.93179764549167,115.78904020206683,0.4251179390023041
Sri Lanka,2024,1,negative_binomial_epidemiology,42,85.22040811105784,106.08092311552714,0.40737649767888995
Sri Lanka,2024,1,persistence,42,77.52380952380952,107.87492757819122,0.3705846840040775
Sri Lanka,2024,1,seasonal_naive,42,680.1666666666666,943.1800439142546,3.2513798120222615
Sri Lanka,2024,1,xgboost_climate,42,94.14334404761905,125.16646199000041,0.4500305340936458
Sri Lanka,2024,1,xgboost_epidemiology,42,78.47065809523808,96.90024403080726,0.37511087512907376
Brazil,2023,2,moving_average_4,52,23181.75480769231,31546.433473421825,2.872871330781993
Brazil,2023,2,negative_binomial_climate,52,10162.155496283647,14421.068462602389,1.2593768429702494
Brazil,2023,2,negative_binomial_epidemiology,52,10772.297006694904,16035.962628107945,1.3349905343202624
Brazil,2023,2,persistence,52,14482.442307692309,20792.705295829852,1.794781872667699
Brazil,2023,2,seasonal_naive,52,15458.288461538461,23159.862400365124,1.9157166535716976
Brazil,2023,2,xgboost_climate,52,12767.102249999998,18119.909315705223,1.5822030012592694
Brazil,2023,2,xgboost_epidemiology,52,12800.658971153847,19625.665052069242,1.5863616226819215
Colombia,2023,2,moving_average_4,52,356.7980769230769,446.519475305303,2.6294353979306417
Colombia,2023,2,negative_binomial_climate,52,386.74424221752025,490.331052543881,2.8501246677174503
Colombia,2023,2,negative_binomial_epidemiology,52,404.97309425682937,505.4570971463389,2.984462804372075
Colombia,2023,2,persistence,52,364.28846153846155,447.62675471698685,2.6846360386450074
Colombia,2023,2,seasonal_naive,52,1197.826923076923,1333.66834332978,8.827425694931193
Colombia,2023,2,xgboost_climate,52,674.7978423076922,863.1962013192139,4.972945337352812
Colombia,2023,2,xgboost_epidemiology,52,672.5173365384616,882.7312820106661,4.956139073578882
Peru,2023,2,moving_average_4,52,2207.2259615384614,3411.2747685982436,10.727119557221382
Peru,2023,2,negative_binomial_climate,52,2621.555209917557,4425.775062782902,12.740759964168355
Peru,2023,2,negative_binomial_epidemiology,52,2481.546166596454,4506.49935816274,12.060315925828563
Peru,2023,2,persistence,52,1405.7692307692307,2280.426031384352,6.8320393430919255
Peru,2023,2,seasonal_naive,52,3872.6153846153848,6074.53044402484,18.8209131977357
Peru,2023,2,xgboost_climate,52,3456.918173076923,5719.537171741827,16.80062448897636
Peru,2023,2,xgboost_epidemiology,52,3445.5503942307696,5785.400325618567,16.74537707665536
Philippines,2023,2,moving_average_4,35,824.8857142857142,1062.1410872787637,1.4859502392120623
Philippines,2023,2,negative_binomial_climate,35,828.6541956353545,1181.2518460682093,1.4927387866023065
Philippines,2023,2,negative_binomial_epidemiology,35,886.186366274844,1247.2673684999274,1.5963773164538826
Philippines,2023,2,persistence,35,599.0285714285715,917.7251689445407,1.079090877188878
Philippines,2023,2,seasonal_naive,35,3823.3714285714286,4887.873630585332,6.887426452526055
