horizon_weeks,model,median_mae,median_rmse,median_mase,settings_evaluated,total_predictions
1,moving_average_4,478.38461538461536,622.1444923987533,1.63588346488976,6,286
1,negative_binomial_climate,439.9921428079018,616.6816904988317,0.9483052607505194,6,286
1,negative_binomial_epidemiology,471.5943824113599,632.4813970543819,0.9956911470192094,6,286
1,persistence,331.60683760683764,511.6428146957153,0.9104361077092764,6,286
1,seasonal_naive,2471.0801282051284,3077.9661758626416,5.936446587408625,6,286
1,xgboost_climate,545.0841681303418,761.1439535502639,1.0158410953792172,6,286
1,xgboost_epidemiology,528.7998714209402,768.049531994222,1.0055407291730298,6,286
2,moving_average_4,590.8418956043956,754.3302812920333,2.057692818571352,6,285
2,negative_binomial_climate,607.6992189264374,835.7914493060451,1.3760578147862779,6,285
2,negative_binomial_epidemiology,645.5797302658367,876.3622328231331,1.4656839253870726,6,285
2,persistence,481.6585164835165,682.6759618307638,1.4369363749282886,6,285
2,seasonal_naive,2510.5991758241757,3110.770986957556,6.007636253135599,6,285
2,xgboost_climate,715.8237344395604,965.8534741627666,1.4727964701110885,6,285
2,xgboost_epidemiology,692.2133036978021,951.8431308281797,1.434397972098485,6,285
4,moving_average_4,787.6864010989011,970.9922859114702,2.5956088211793817,6,285
4,negative_binomial_climate,956.0800721256552,1276.8162118807602,2.0751960402221417,6,285
4,negative_binomial_epidemiology,1053.7870668672606,1593.4346199435888,2.3177450346954567,6,285
4,persistence,656.4739010989011,885.8168242698061,2.3728147687922574,6,285
4,seasonal_naive,2492.3134615384615,3106.3647734698475,5.97469634273777,6,285
4,xgboost_climate,876.2488004120877,1206.288450681144,1.8710311975361869,6,285
4,xgboost_epidemiology,873.5335287637362,1208.3416947370765,1.8128998157983287,6,285
