SETTING,YR,first_week,last_week,observed_weeks
BRAZIL,2016,1,52,52
BRAZIL,2017,1,52,52
BRAZIL,2018,1,52,52
BRAZIL,2019,1,52,52
BRAZIL,2021,1,52,52
BRAZIL,2022,1,52,52
BRAZIL,2023,1,52,52
COLOMBIA,2016,1,52,52
COLOMBIA,2017,1,52,52
COLOMBIA,2018,1,52,52
COLOMBIA,2021,1,52,52
COLOMBIA,2022,1,52,52
COLOMBIA,2023,1,52,52
MEXICO,2016,1,52,52
MEXICO,2017,1,52,52
MEXICO,2018,1,52,52
MEXICO,2019,1,52,52
MEXICO,2021,1,52,52
MEXICO,2022,1,52,52
MEXICO,2023,1,52,52
PERU,2016,1,52,52
PERU,2017,1,52,52
PERU,2018,1,52,52
PERU,2019,1,52,52
PERU,2021,1,52,52
PERU,2022,1,52,52
PERU,2023,1,52,52
PHILIPPINES,2016,1,52,52
PHILIPPINES,2017,1,52,52
PHILIPPINES,2018,1,52,52
PHILIPPINES,2019,1,52,52
PHILIPPINES,2020,1,52,52
PHILIPPINES,2022,1,50,50
PHILIPPINES,2023,1,52,47
SINGAPORE,2016,1,52,52
SINGAPORE,2017,1,52,52
SINGAPORE,2018,1,52,52
SINGAPORE,2019,1,52,52
SINGAPORE,2020,1,52,52
SINGAPORE,2021,1,52,52
SINGAPORE,2022,1,52,52
SINGAPORE,2023,1,52,52
SINGAPORE,2024,1,52,52
SINGAPORE,2025,1,52,52
SRI LANKA,2016,1,52,52
SRI LANKA,2017,1,52,52
SRI LANKA,2018,1,52,52
SRI LANKA,2019,1,52,52
SRI LANKA,2020,1,52,52
SRI LANKA,2021,1,52,52
SRI LANKA,2022,1,52,52
SRI LANKA,2023,1,51,51
SRI LANKA,2024,1,52,52
TAIWAN,2016,1,52,52
TAIWAN,2017,1,52,52
TAIWAN,2018,1,52,52
TAIWAN,2019,1,52,52
TAIWAN,2020,1,52,52
TAIWAN,2021,1,52,52
TAIWAN,2022,1,52,52
TAIWAN,2023,1,52,52
TAIWAN,2024,1,52,52
