setting,horizon_weeks,mase_epidemiology,mase_climate,delta_mase_climate_minus_epi,climate_improves
Brazil,1,1.0159860706801085,1.0326276544683741,0.016641583788265635,False
Brazil,2,1.9846704656611664,1.5149438156338073,-0.46972665002735914,True
Brazil,4,2.0139219912444273,2.13511307948226,0.12119108823783264,False
Colombia,1,8.957945828619252,9.53582251569856,0.5778766870793088,False
Colombia,2,9.859962139897284,9.77489640219747,-0.08506573769981429,True
Colombia,4,8.292543111333313,10.573720489888117,2.281177378554805,False
Mexico,1,2.9129216884680766,3.487558063599452,0.5746363751313752,False
Mexico,2,2.939170413853248,3.7378870612683714,0.7987166474151235,False
Mexico,4,4.830415488992616,4.373335381385716,-0.45708010760689977,True
Peru,1,13.043452912489647,14.58507895757182,1.5416260450821735,False
Peru,2,17.674330980778564,18.76222998895048,1.0878990081719166,False
Peru,4,21.060183680806702,19.918730232054493,-1.141453448752209,True
Singapore,1,0.3754003179738839,0.38333896423682895,0.007938646262945048,False
Singapore,2,0.5075823815893058,0.559131414042723,0.05154903245341724,False
Singapore,4,0.891148590168144,0.9474871050291875,0.056338514861043576,False
Sri Lanka,1,0.3727209816853769,0.48469358933615303,0.11197260765077616,False
Sri Lanka,2,0.4280342297953909,0.48739558350802054,0.05936135371262963,False
Sri Lanka,4,0.5179477927626744,0.5199283352173358,0.0019805424546613937,False
Taiwan,1,0.28530195125732766,0.19413100116953644,-0.09117095008779122,True
Taiwan,2,0.3431367700398694,0.30140444096248337,-0.041732329077386054,True
Taiwan,4,0.5709622992547226,0.4660070733924624,-0.10495522586226025,True
