setting,validation_year,test_year,horizon_weeks,model,n_train,n_validation,n_test,best_rounds,mae,rmse,mase
Brazil,2022,2023,1,xgboost_climate,243,52,51,1977,9100.7451171875,14360.229004387553,1.0733001713420478
Brazil,2022,2023,1,xgboost_epidemiology,243,52,51,563,9220.639629289215,15172.961973750744,1.0874399806351038
Brazil,2022,2023,2,xgboost_climate,242,52,50,1222,12100.861015625,17846.40759051562,1.4271200911811048
Brazil,2022,2023,2,xgboost_epidemiology,242,52,50,451,11839.21279296875,18707.650214864243,1.396262498907926
Brazil,2022,2023,4,xgboost_climate,240,52,48,1064,14318.242106119791,19612.10811101339,1.688627854964535
Brazil,2022,2023,4,xgboost_epidemiology,240,52,48,387,13611.868306477865,19733.5352447933,1.605321366273254
Colombia,2022,2023,1,xgboost_climate,191,52,51,94,621.2441214767157,818.7739179470744,4.978459854672194
Colombia,2022,2023,1,xgboost_epidemiology,191,52,51,120,601.8557224647672,833.6555236313852,4.823087171389638
Colombia,2022,2023,2,xgboost_climate,190,52,50,76,707.5580493164063,901.6222478278172,5.67015319999921
Colombia,2022,2023,2,xgboost_epidemiology,190,52,50,159,646.8560424804688,874.0945883426617,5.183705934450189
Colombia,2022,2023,4,xgboost_climate,188,52,48,130,726.7040125528971,915.4408917693531,5.823583077332016
Colombia,2022,2023,4,xgboost_epidemiology,188,52,48,182,779.3565317789713,976.422081329501,6.245524217943985
Mexico,2022,2023,1,xgboost_climate,243,52,51,250,1172.154556573606,1693.172039249656,3.155193961167176
Mexico,2022,2023,1,xgboost_epidemiology,243,52,51,80,1747.791435690487,2793.3817405744167,4.70468757924761
Mexico,2022,2023,2,xgboost_climate,242,52,50,100,1729.4383471679687,2612.8781438153005,4.65528491835254
Mexico,2022,2023,2,xgboost_epidemiology,242,52,50,138,1327.8007852172852,1976.812787376922,3.57416092925245
Mexico,2022,2023,4,xgboost_climate,240,52,48,127,1832.2330525716145,2572.7794957175083,4.931986682561546
Mexico,2022,2023,4,xgboost_epidemiology,240,52,48,89,1974.8569882710774,3088.4292812031144,5.315900372196709
Peru,2022,2023,1,xgboost_climate,243,52,51,176,2863.4725796568628,5187.298942232925,13.317516774551512
Peru,2022,2023,1,xgboost_epidemiology,243,52,51,130,2945.595798866422,5230.542150480743,13.699457693830206
Peru,2022,2023,2,xgboost_climate,242,52,50,246,3426.0690478515626,5700.656679088674,15.934055852213707
Peru,2022,2023,2,xgboost_epidemiology,242,52,50,126,3591.832185058594,5930.203997876237,16.70499159507368
Peru,2022,2023,4,xgboost_climate,240,52,48,264,3923.4949639638266,6108.250069731937,18.24749793962338
Peru,2022,2023,4,xgboost_epidemiology,240,52,48,126,4000.179000854492,6276.742615180698,18.60414216066011
Philippines,2022,2023,1,xgboost_climate,251,41,36,111,494.15080091688367,737.7250484266572,0.8648223355461374
Philippines,2022,2023,1,xgboost_epidemiology,251,41,36,146,480.6913248697917,720.8065555245975,0.8412666608640857
Philippines,2022,2023,2,xgboost_climate,250,40,35,84,756.849626813616,1068.5107354186782,1.3245763453255393
Philippines,2022,2023,2,xgboost_epidemiology,250,40,35,79,711.9092599051339,1020.9549741174582,1.2459253889818884
Philippines,2022,2023,4,xgboost_climate,248,40,33,177,1075.1886282256155,1631.1186930988601,1.881707241776028
Philippines,2022,2023,4,xgboost_epidemiology,248,40,33,48,945.9040046460701,1434.2213233443797,1.655443862445653
Singapore,2024,2025,1,xgboost_climate,408,52,51,114,13.164168937533509,18.592795211885594,0.3577454069200711
Singapore,2024,2025,1,xgboost_epidemiology,408,52,51,134,12.53988774617513,17.46125441188714,0.3407801332370296
Singapore,2024,2025,2,xgboost_climate,408,52,50,111,16.961553268432617,20.98471076481542,0.4609419557592519
Singapore,2024,2025,2,xgboost_epidemiology,408,52,50,116,16.325487823486327,20.571957251311588,0.4436564368244925
Singapore,2024,2025,4,xgboost_climate,408,52,48,84,22.857502857844036,27.225418440192303,0.6211684687319281
Singapore,2024,2025,4,xgboost_epidemiology,408,52,48,86,24.46509639422099,29.070326022771518,0.6648559363238629
Sri Lanka,2023,2024,1,xgboost_climate,356,50,43,95,84.27970850744913,105.94219970745198,0.4167602194339041
Sri Lanka,2023,2024,1,xgboost_epidemiology,356,50,43,125,78.80438019508539,96.80732257115923,0.3896849118735832
Sri Lanka,2023,2024,2,xgboost_climate,356,50,42,83,87.64043462844123,119.80211873923795,0.4333788929016478
Sri Lanka,2023,2024,2,xgboost_epidemiology,356,50,42,80,83.18448457263764,108.68148861869487,0.4113443752706444
Sri Lanka,2023,2024,4,xgboost_climate,356,50,40,68,115.96936569213867,135.42116965477288,0.5734644690802956
Sri Lanka,2023,2024,4,xgboost_epidemiology,356,50,40,70,124.99668960571289,150.98707692785155,0.618104271017788
Taiwan,2023,2024,1,xgboost_climate,356,52,51,825,4.2025938301767205,9.248093496217782,0.8638400681507076
Taiwan,2023,2024,1,xgboost_epidemiology,356,52,51,458,4.168171104956784,8.680668720166205,0.8567645023212416
Taiwan,2023,2024,2,xgboost_climate,356,52,50,800,4.356184989511966,8.700515696891976,0.8954106178894926
Taiwan,2023,2024,2,xgboost_epidemiology,356,52,50,635,5.071263550501317,10.723909887967073,1.0423944897123318
Taiwan,2023,2024,4,xgboost_climate,356,52,48,493,3.7088615705724806,7.611345259164524,0.7623537656386243
Taiwan,2023,2024,4,xgboost_epidemiology,356,52,48,257,3.894267903485646,7.606958971017915,0.8004639008863474
